number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_n_estimators,params_num_leaves,state
13,23.903617177781303,2026-04-23 23:29:44.344114,2026-04-23 23:30:32.243577,0 days 00:00:47.899463,0.8953286376908947,2,0.7018834018876883,0.10091557450479287,31,1439,90,COMPLETE
14,23.46362312409009,2026-04-23 23:30:32.244329,2026-04-23 23:31:32.775403,0 days 00:01:00.531074,0.8879202924000473,1,0.6009606363810039,0.04333118583058628,35,1323,126,COMPLETE
15,23.063133132245365,2026-04-23 23:31:32.776342,2026-04-23 23:32:23.718221,0 days 00:00:50.941879,0.8682186796318299,2,0.7410030062007055,0.04009604247853636,40,1298,101,COMPLETE
16,23.18555075641516,2026-04-23 23:32:23.719069,2026-04-23 23:33:12.197083,0 days 00:00:48.478014,0.8527991815706819,2,0.7539796407337817,0.04317973500791599,41,1267,102,COMPLETE
17,23.55471046160008,2026-04-23 23:33:12.197743,2026-04-23 23:33:55.449788,0 days 00:00:43.252045,0.7664200661854723,2,0.7275717552489582,0.03658050317595461,42,1284,90,COMPLETE
18,24.28232554345207,2026-04-23 23:33:55.450494,2026-04-23 23:34:21.633485,0 days 00:00:26.182991,0.8357338947232497,3,0.771735655230752,0.036860207547165576,50,1018,66,COMPLETE
19,23.630178338548433,2026-04-23 23:34:21.635101,2026-04-23 23:34:56.349590,0 days 00:00:34.714489,0.7718321176117535,5,0.9406069544760229,0.1059171894890625,29,778,102,COMPLETE
20,23.603031052750744,2026-04-23 23:34:56.351174,2026-04-23 23:35:35.362022,0 days 00:00:39.010848,0.8539941784046888,2,0.7467892494888674,0.05169417518079485,44,1337,76,COMPLETE
21,23.00058347848264,2026-04-23 23:35:35.362838,2026-04-23 23:36:25.568568,0 days 00:00:50.205730,0.8791618309435959,1,0.6772677475688869,0.038199359401756776,37,1255,111,COMPLETE
22,23.561012241400167,2026-04-23 23:36:25.569526,2026-04-23 23:37:10.615238,0 days 00:00:45.045712,0.8664327351639395,1,0.6816731945441582,0.0339453037982742,39,1068,112,COMPLETE
23,23.730268887840758,2026-04-23 23:37:10.615964,2026-04-23 23:37:55.604776,0 days 00:00:44.988812,0.9301505596576116,2,0.7015746677174797,0.04731593119990704,38,1241,96,COMPLETE
24,22.493364853143415,2026-04-23 23:37:55.606394,2026-04-23 23:38:53.070034,0 days 00:00:57.463640,0.7974396555783305,3,0.6455405356197969,0.029495176402951042,46,1379,114,COMPLETE
25,22.690265773332847,2026-04-23 23:38:53.070789,2026-04-23 23:39:50.786417,0 days 00:00:57.715628,0.7741966626735901,3,0.6453724439347555,0.028855447892111995,47,1390,116,COMPLETE
26,22.184650797326043,2026-04-23 23:39:50.788096,2026-04-23 23:40:47.763986,0 days 00:00:56.975890,0.7402964443696955,5,0.6423878096285347,0.031150026339481378,46,1393,116,COMPLETE
27,21.921575057136543,2026-04-23 23:40:47.764751,2026-04-23 23:41:43.973967,0 days 00:00:56.209216,0.7589765819135146,5,0.6485019062763467,0.01441734617546518,48,1384,116,COMPLETE
28,23.274907760719348,2026-04-23 23:41:43.975653,2026-04-23 23:42:23.020116,0 days 00:00:39.044463,0.7378103932557367,5,0.6295508952223317,0.010202725181370796,45,914,117,COMPLETE
29,24.161779917897093,2026-04-23 23:42:23.020878,2026-04-23 23:42:47.190005,0 days 00:00:24.169127,0.7957993469679321,5,0.686465235138768,0.014186285341318466,50,1127,54,COMPLETE
30,22.599891130552876,2026-04-23 23:42:47.190952,2026-04-23 23:43:29.162019,0 days 00:00:41.971067,0.6001048449218851,6,0.6357154184352861,0.01699391554343437,47,1375,84,COMPLETE
31,22.82606123319492,2026-04-23 23:43:29.162697,2026-04-23 23:44:14.025552,0 days 00:00:44.862855,0.6794651201602916,6,0.6506090757484942,0.018802463982923977,47,1408,85,COMPLETE
32,23.448910319310414,2026-04-23 23:44:14.026244,2026-04-23 23:44:43.495189,0 days 00:00:29.468945,0.6093602745308693,6,0.6402134096846105,0.013659191401682418,44,1176,66,COMPLETE
