number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
18,23.59226281841229,2026-04-23 23:59:33.649457,2026-04-23 23:59:44.065528,0 days 00:00:10.416071,0.749349432956438,0.028697657146365362,8,6.395516544312275,1291,0.7046545344435065,COMPLETE
19,22.990743328562434,2026-04-23 23:59:44.066235,2026-04-23 23:59:57.711824,0 days 00:00:13.645589,0.7832654414422218,0.010646556846278058,10,2.978346463016099,936,0.6487853746010269,COMPLETE
20,23.718673581702014,2026-04-23 23:59:57.713142,2026-04-24 00:00:10.405607,0 days 00:00:12.692465,0.8191560780513762,0.010849576086004543,8,2.670805768093998,1209,0.6391459395227008,COMPLETE
21,23.44597992971302,2026-04-24 00:00:10.406821,2026-04-24 00:00:24.526870,0 days 00:00:14.120049,0.7931508355911095,0.010252988201326882,10,3.432818077560954,954,0.7031926871877964,COMPLETE
22,23.076482449847262,2026-04-24 00:00:24.527863,2026-04-24 00:00:35.899189,0 days 00:00:11.371326,0.7771508587965437,0.029461472825546953,10,4.9892315519277055,912,0.6376402629592095,COMPLETE
23,23.231291435134295,2026-04-24 00:00:35.900083,2026-04-24 00:00:44.869141,0 days 00:00:08.969058,0.7517842248725415,0.023693100699625207,9,4.783545590282706,922,0.6353517448434568,COMPLETE
24,24.175576718649147,2026-04-24 00:00:44.869910,2026-04-24 00:00:57.383322,0 days 00:00:12.513412,0.6889834019609941,0.06644579525710254,8,2.988453819116433,1497,0.6772394223038295,COMPLETE
25,22.89484674232603,2026-04-24 00:00:57.384174,2026-04-24 00:01:12.551292,0 days 00:00:15.167118,0.8768383094174007,0.023022133560280607,10,2.087554718303084,1081,0.6370317170474938,COMPLETE
26,23.126849506525005,2026-04-24 00:01:12.553419,2026-04-24 00:01:30.086870,0 days 00:00:17.533451,0.8738445964974808,0.01296166427799533,10,1.35160080888148,1075,0.6178729420489847,COMPLETE
27,22.82378361760962,2026-04-24 00:01:30.089031,2026-04-24 00:01:42.059599,0 days 00:00:11.970568,0.8851703034753071,0.021612421616292864,10,2.132801318552854,891,0.6470522869622856,COMPLETE
28,23.111251935061773,2026-04-24 00:01:42.060386,2026-04-24 00:01:53.536665,0 days 00:00:11.476279,0.8824450818870561,0.021511285213694567,9,1.93782441366315,1069,0.6603389445658806,COMPLETE
29,26.48143915079467,2026-04-24 00:01:53.537345,2026-04-24 00:01:57.492574,0 days 00:00:03.955229,0.9558225677864423,0.013912512226708394,4,2.10040761240105,1171,0.7708876872619592,COMPLETE
30,23.153407505580333,2026-04-24 00:01:57.493238,2026-04-24 00:02:09.374461,0 days 00:00:11.881223,0.9259308962023542,0.015528855828020785,10,3.4903405804314156,880,0.9676419615984134,COMPLETE
31,22.85835244573407,2026-04-24 00:02:09.378648,2026-04-24 00:02:22.544740,0 days 00:00:13.166092,0.8149109360418435,0.02507768008925323,10,2.4424749542838873,1029,0.6361947727525545,COMPLETE
32,23.667730042938647,2026-04-24 00:02:22.545473,2026-04-24 00:02:35.731727,0 days 00:00:13.186254,0.8231249747567762,0.02082813105864534,10,2.403856813407324,1016,0.693981515582376,COMPLETE
33,23.233651541431215,2026-04-24 00:02:35.732428,2026-04-24 00:02:48.763742,0 days 00:00:13.031314,0.8902371589565751,0.025035143649071737,9,1.0136475143108379,1112,0.6223513882376602,COMPLETE
34,22.723441614389714,2026-04-24 00:02:48.764474,2026-04-24 00:02:58.425697,0 days 00:00:09.661223,0.8124756653216185,0.019274036455808018,9,3.0655219676488006,1020,0.6441999689950477,COMPLETE
35,23.100645682702954,2026-04-24 00:02:58.426375,2026-04-24 00:03:09.602393,0 days 00:00:11.176018,0.8176218224156548,0.018164059702886995,9,1.5820668368027544,1042,0.6648039676950063,COMPLETE
36,23.394870635205127,2026-04-24 00:03:09.604119,2026-04-24 00:03:21.501817,0 days 00:00:11.897698,0.859693292766726,0.03576360115049322,9,2.0505228705517453,1168,0.682559216474238,COMPLETE
37,23.793141203553812,2026-04-24 00:03:21.502550,2026-04-24 00:03:36.759376,0 days 00:00:15.256826,0.8483077248907741,0.025310284897569934,10,3.662420982718615,1250,0.8319895504931021,COMPLETE
38,25.856040570233127,2026-04-24 00:03:36.760134,2026-04-24 00:03:39.307241,0 days 00:00:02.547107,0.9160828941463909,0.01960719058778805,5,2.9414654706811323,584,0.7566284692883509,COMPLETE
