category,model,brand,ym,mean_forecast,std_forecast,cv
CSD,LightGBM,BRITVIC,,5.846995658470534,0.9916998486834375,0.16960844621917298
CSD,LightGBM,BRITVIC,,8.867094670657357,2.047414508321002,0.230900264896937
CSD,LightGBM,BRITVIC,,3.7252543762201293,1.3630735319108147,0.365900793409408
CSD,LightGBM,BRITVIC,,7.9894547622763525,1.189193099375832,0.14884533860693736
CSD,LightGBM,BRITVIC,,6.916260575338194,2.0520063844835734,0.2966930412946787
CSD,LightGBM,BUNDABERG,,139.33672528893175,17.426296300489028,0.12506606757373886
CSD,LightGBM,BUNDABERG,,141.85528793221488,3.5443553034512054,0.02498571153121105
CSD,LightGBM,BUNDABERG,,141.90867863656885,20.215234655027842,0.14245241974805142
CSD,LightGBM,BUNDABERG,,140.92096007181885,12.084971850250149,0.08575709279933356
CSD,LightGBM,BUNDABERG,,185.82018991347104,32.4125875575366,0.17442984840683798
CSD,LightGBM,BUNDABERG,,86.92770631392541,13.08224638230174,0.15049570427013587
CSD,LightGBM,BUNDABERG,,76.17666012367792,15.991684953777694,0.20992893266538754
CSD,LightGBM,CANDY CAN,,265.42306021203404,92.55824654798077,0.34871968725716723
CSD,LightGBM,CANDY CAN,,20.243736615888935,3.254807320843737,0.16078095573961868
CSD,LightGBM,CANDY CAN,,49.05221664008992,9.57672255297686,0.19523526578307357
CSD,LightGBM,CANDY CAN,,62.08151126616821,7.066949459535506,0.11383339927465158
CSD,LightGBM,CANDY CAN,,113.86715779817243,28.712271785425866,0.25215586601641427
CSD,LightGBM,CANDY CAN,,6.8039203378465185,3.3093038062664246,0.4863819154169931
CSD,LightGBM,CANDY CAN,,5.895600038617241,1.4290187528710852,0.24238733012937702
CSD,LightGBM,CARIBIA,,75931.01583745466,4418.800763397668,0.058194938058737204
CSD,LightGBM,CARIBIA,,106867.44386653567,5533.5680329149545,0.051779736023495636
CSD,LightGBM,CARIBIA,,101831.18244033858,1046.4717379130877,0.010276535269795186
CSD,LightGBM,CARIBIA,,115485.7180074011,5882.308615822321,0.0509353772684285
CSD,LightGBM,CARIBIA,,98143.71647354224,3554.565249840684,0.03621796053340746
CSD,LightGBM,CARIBIA,,130955.44234473938,5416.532387554151,0.04136164401090841
CSD,LightGBM,CARIBIA,,110916.50186983985,7577.2081565944545,0.06831452515051623
CSD,LightGBM,CARLSBERG SPORT,,10.8080322063175,2.329243675500515,0.21551043067201703
CSD,LightGBM,CARLSBERG SPORT,,21.297582554489956,4.321197249186665,0.20289613800678377
CSD,LightGBM,CARLSBERG SPORT,,1.9118379376667611,0.6551502243217661,0.3426808368084391
