model,category,brand,n_test,scorable,n_train,mean_test_units,pooled_wmape,percat_wmape,delta_wmape,pooled_mape,percat_mape,delta_mape
XGBoost,CSD,CANDY CAN,7,True,26,30.782628571428567,69.21971591015318,85.90095974699132,-16.681243836838135,173.34438892610123,191.18233117602057,-17.837942249919337
XGBoost,CSD,CARIBIA,7,True,26,114636.36190000003,32.779169260940854,35.59460233221915,-2.8154330712782922,24.478694887486245,32.175676797894326,-7.6969819104080806
XGBoost,CSD,CARLSBERG SPORT,7,False,26,3.1428571428571432,130.7928594675931,78.10539982535622,52.68745964223689,10060712349.756916,16888533387.902546,-6827821038.14563
XGBoost,CSD,CHUPA CHUPS,7,True,26,109.54225714285712,51.96138513798112,113.25413706320566,-61.29275192522454,60.35220916522196,128.63723033095667,-68.28502116573472
XGBoost,CSD,COCA COLA,7,True,26,4443656.940257144,6.629970729470705,4.431722792843334,2.1982479366273715,6.952757004293112,4.537942310350851,2.414814693942261
XGBoost,CSD,D&G,7,False,26,0.0,1858525891602.0393,586049181222.9156,1272476710379.1235,265503698800.29135,83721311603.27367,181782387197.0177
XGBoost,CSD,DEPANNEUR FRIZZANTE,7,False,26,4.285714285714286,91.04773839314778,58.504396279652916,32.543342113494866,96206447089.27306,128184689809.08487,-31978242719.811813
XGBoost,CSD,DOCTOR POLIDORIS,7,False,26,0.7142857142857143,1667.6990771293638,170.26556730270386,1497.43350982666,125880908294.70044,44035381996.90319,81845526297.79724
XGBoost,CSD,DOUBLE DUTCH,7,True,26,2213.9319428571434,88.80794310900221,94.86265998491528,-6.054716875913073,207.8296299196386,159.11837022159818,48.71125969804041
XGBoost,CSD,DR PEPPER,7,True,26,16342.02538571428,21.843009215111902,24.596760913208602,-2.7537516980967,15.99062534672516,18.661855860653493,-2.6712305139283323
XGBoost,CSD,EAGLE,7,False,26,0.0,548025361448.52637,596658295253.2917,-48632933804.76538,78289337349.78949,85236899321.89882,-6947561972.109329
XGBoost,CSD,EASIS,7,False,26,7304.71428571429,120.06177549743775,155.130796319873,-35.06902082243526,56948500134.82531,67822974277.33246,-10874474142.507149
XGBoost,CSD,EAST IMPERIAL,7,False,26,0.28571428571428575,363.82515244185913,215.65279439091677,148.17235805094236,103141923781.35623,21034702466.069717,82107221315.28651
XGBoost,CSD,EBELTOFT,7,True,26,4326.872614285714,22.307045836740137,21.485960168586185,0.8210856681539518,21.472750309534884,17.161460807674665,4.3112895018602195
XGBoost,CSD,EFFERVE,7,True,26,1873.2644142857148,102.59469362715485,57.14211390045625,45.4525797266986,122.01343668492899,94.03850694224465,27.97492974268434
XGBoost,CSD,EGO,7,True,26,123002.65877142856,17.29072240615448,14.877895279082232,2.412827127072248,17.1381837628479,13.977028623204749,3.1611551396431494
XGBoost,CSD,FANTA,7,True,26,904402.2420714282,13.148453064636916,12.612905793383113,0.5355472712538027,14.063942626391986,11.397076918244228,2.6668657081477587
XGBoost,CSD,FAXE KONDI,7,True,26,3398215.331685715,10.088374836150772,10.972088544174953,-0.8837137080241817,10.8994101450849,10.950103675076527,-0.05069352999162646
XGBoost,CSD,FENTIMANS,7,True,26,6978.1217000000015,35.04493641975369,31.407630389303563,3.6373060304501266,34.54347394679901,31.51091594922101,3.032557997578003
