category,model,tuned_for,trial,value,best
CSD,LightGBM,medmape,58,34.592243810079395,31.1418235785415
CSD,LightGBM,medmape,59,32.308715133016484,31.1418235785415
CSD,LightGBM,medmape,60,32.32024351186444,31.1418235785415
CSD,LightGBM,medmape,61,31.52519224758212,31.1418235785415
CSD,LightGBM,medmape,62,32.88162685585038,31.1418235785415
CSD,LightGBM,medmape,63,32.90446371284017,31.1418235785415
CSD,LightGBM,medmape,64,32.6346233480829,31.1418235785415
CSD,LightGBM,medmape,65,32.87894215452173,31.1418235785415
CSD,LightGBM,medmape,66,33.09274679393117,31.1418235785415
CSD,LightGBM,medmape,67,32.90213892914044,31.1418235785415
CSD,LightGBM,medmape,68,34.81024889701742,31.1418235785415
CSD,LightGBM,medmape,69,32.66623423409311,31.1418235785415
CSD,LightGBM,medmape,70,37.43149186646766,31.1418235785415
CSD,LightGBM,medmape,71,32.25661701477724,31.1418235785415
CSD,LightGBM,medmape,72,33.384111491042454,31.1418235785415
CSD,LightGBM,medmape,73,31.44517990229639,31.1418235785415
CSD,LightGBM,medmape,74,32.695321767703724,31.1418235785415
CSD,LightGBM,medmape,75,32.271972806503314,31.1418235785415
CSD,LightGBM,medmape,76,32.501343061582084,31.1418235785415
CSD,LightGBM,medmape,77,32.464866454306375,31.1418235785415
CSD,LightGBM,medmape,78,32.22082704122096,31.1418235785415
CSD,LightGBM,medmape,79,36.03022262991652,31.1418235785415
CSD,LightGBM,medmape,80,33.29667484637985,31.1418235785415
CSD,LightGBM,medmape,81,31.175059609806606,31.1418235785415
CSD,LightGBM,medmape,82,31.527401376367116,31.1418235785415
CSD,LightGBM,medmape,83,31.904223820150364,31.1418235785415
CSD,LightGBM,medmape,84,33.888025802204815,31.1418235785415
CSD,LightGBM,medmape,85,32.508978308064115,31.1418235785415
CSD,LightGBM,medmape,86,33.2129915378579,31.1418235785415
CSD,LightGBM,medmape,87,32.10715416227223,31.1418235785415
CSD,LightGBM,medmape,88,33.75874895490382,31.1418235785415
CSD,LightGBM,medmape,89,33.57706435577559,31.1418235785415
CSD,LightGBM,medmape,90,31.274923806113318,31.1418235785415
CSD,LightGBM,medmape,91,31.737434271310597,31.1418235785415
CSD,LightGBM,medmape,92,32.28640907646625,31.1418235785415
CSD,LightGBM,medmape,93,30.984917666593415,30.984917666593415
CSD,LightGBM,medmape,94,32.248670712531585,30.984917666593415
CSD,LightGBM,medmape,95,31.692804069255846,30.984917666593415
CSD,LightGBM,medmape,96,32.072144967759684,30.984917666593415
CSD,LightGBM,medmape,97,31.895496785526543,30.984917666593415
CSD,LightGBM,medmape,98,31.354613746303396,30.984917666593415
CSD,LightGBM,medmape,99,33.49915835926728,30.984917666593415
CSD,XGBoost,wmape,0,16.693011996191892,16.693011996191892
CSD,XGBoost,wmape,1,17.379987513273036,16.693011996191892
CSD,XGBoost,wmape,2,17.961043957580408,16.693011996191892
CSD,XGBoost,wmape,3,17.38739180899028,16.693011996191892
CSD,XGBoost,wmape,4,18.220913315159343,16.693011996191892
CSD,XGBoost,wmape,5,18.056142797979533,16.693011996191892
CSD,XGBoost,wmape,6,17.413544266101137,16.693011996191892
CSD,XGBoost,wmape,7,17.708900093018478,16.693011996191892
CSD,XGBoost,wmape,8,17.31808050568959,16.693011996191892
CSD,XGBoost,wmape,9,18.780018261892252,16.693011996191892
CSD,XGBoost,wmape,10,16.899655760777406,16.693011996191892
CSD,XGBoost,wmape,11,16.60898800819211,16.60898800819211
CSD,XGBoost,wmape,12,17.12420540256381,16.60898800819211
CSD,XGBoost,wmape,13,17.386195397360133,16.60898800819211
CSD,XGBoost,wmape,14,16.688636218166508,16.60898800819211
CSD,XGBoost,wmape,15,16.23799887932215,16.23799887932215
CSD,XGBoost,wmape,16,16.953405994445507,16.23799887932215
CSD,XGBoost,wmape,17,16.940138973908653,16.23799887932215
CSD,XGBoost,wmape,18,16.557531467695377,16.23799887932215
CSD,XGBoost,wmape,19,17.5741204657945,16.23799887932215
CSD,XGBoost,wmape,20,16.500867259899948,16.23799887932215
CSD,XGBoost,wmape,21,16.67305976167476,16.23799887932215
CSD,XGBoost,wmape,22,17.00633502289972,16.23799887932215
CSD,XGBoost,wmape,23,17.09602852599753,16.23799887932215
CSD,XGBoost,wmape,24,16.931123882413065,16.23799887932215
CSD,XGBoost,wmape,25,17.03326322161695,16.23799887932215
CSD,XGBoost,wmape,26,16.796376410946504,16.23799887932215
CSD,XGBoost,wmape,27,16.555034306854264,16.23799887932215
CSD,XGBoost,wmape,28,16.380565006131686,16.23799887932215
CSD,XGBoost,wmape,29,16.788188449817447,16.23799887932215
CSD,XGBoost,wmape,30,16.423632852385694,16.23799887932215
CSD,XGBoost,wmape,31,16.863382550535476,16.23799887932215
CSD,XGBoost,wmape,32,16.63375852713979,16.23799887932215
CSD,XGBoost,wmape,33,16.654486647376928,16.23799887932215
CSD,XGBoost,wmape,34,17.422437619441897,16.23799887932215
CSD,XGBoost,wmape,35,16.677035140270284,16.23799887932215
CSD,XGBoost,wmape,36,16.89420115257798,16.23799887932215
CSD,XGBoost,wmape,37,17.53184914449739,16.23799887932215
CSD,XGBoost,wmape,38,17.040645535573578,16.23799887932215
CSD,XGBoost,wmape,39,17.70019016038965,16.23799887932215
CSD,XGBoost,wmape,40,18.26692464833719,16.23799887932215
CSD,XGBoost,wmape,41,16.66835569382792,16.23799887932215
CSD,XGBoost,wmape,42,16.971873716152032,16.23799887932215
CSD,XGBoost,wmape,43,17.3815670826017,16.23799887932215
CSD,XGBoost,wmape,44,16.778823012249227,16.23799887932215
CSD,XGBoost,wmape,45,16.999253422184726,16.23799887932215
CSD,XGBoost,wmape,46,17.520399283247073,16.23799887932215
CSD,XGBoost,wmape,47,16.776253544755562,16.23799887932215
CSD,XGBoost,wmape,48,17.21538663685767,16.23799887932215
CSD,XGBoost,wmape,49,17.36864578282967,16.23799887932215
CSD,XGBoost,wmape,50,16.978992782675284,16.23799887932215
CSD,XGBoost,wmape,51,17.1372718409417,16.23799887932215
CSD,XGBoost,wmape,52,16.975727957627146,16.23799887932215
CSD,XGBoost,wmape,53,17.20451576226395,16.23799887932215
CSD,XGBoost,wmape,54,16.759265442481762,16.23799887932215
CSD,XGBoost,wmape,55,16.665170626471653,16.23799887932215
CSD,XGBoost,wmape,56,17.03243937895155,16.23799887932215
CSD,XGBoost,wmape,57,16.549045560061433,16.23799887932215
CSD,XGBoost,wmape,58,16.37461150479678,16.23799887932215
CSD,XGBoost,wmape,59,16.721620961064026,16.23799887932215
CSD,XGBoost,wmape,60,16.76700010746164,16.23799887932215
CSD,XGBoost,wmape,61,16.51954066683799,16.23799887932215
CSD,XGBoost,wmape,62,16.38110530812852,16.23799887932215
CSD,XGBoost,wmape,63,16.776171321728945,16.23799887932215
CSD,XGBoost,wmape,64,16.73084227013348,16.23799887932215
