category,ensemble,lower90,upper90,agreement,confidence,tier,actual,in_interval
CSD,126467.6,18144.0,881455.2,0.409,42.8,Moderate,117640.1,True
CSD,113554.5,16291.3,791453.2,0.548,47.0,Moderate,208191.3,True
CSD,146691.6,21045.7,1022413.0,0.667,50.6,Moderate,269861.7,True
CSD,171877.3,24659.2,1197952.8,0.66,50.4,Moderate,194535.7,True
CSD,147841.6,21210.7,1030428.6,0.656,50.2,Moderate,160186.4,True
CSD,186680.8,26783.2,1301130.3,0.34,40.8,Moderate,131455.4,True
CSD,85681.2,12292.2,597181.7,0.417,43.1,Moderate,96330.4,True
CSD,123454.9,17711.8,860457.6,0.335,40.6,Moderate,97593.6,True
CSD,108093.1,15507.7,753388.2,0.391,42.3,Moderate,118745.5,True
CSD,831.4,118.3,5793.5,0.435,43.6,Moderate,119.0,True
CSD,984.4,140.2,6859.8,0.479,44.9,Moderate,103.0,False
CSD,167.1,23.0,1163.6,0.0,30.6,Low,55.0,True
CSD,130.9,17.8,911.5,0.0,30.6,Low,31.0,True
CSD,129.5,17.6,901.4,0.0,30.6,Low,39.0,True
CSD,139.2,19.0,969.4,0.0,30.6,Low,15.0,False
CSD,159.0,21.8,1107.4,0.0,30.6,Low,7.0,False
CSD,14460.0,2073.7,100782.3,0.572,47.7,Moderate,42640.5,True
CSD,30868.6,4427.9,215147.3,0.69,51.3,Moderate,30975.2,True
CSD,33670.7,4829.9,234677.8,0.696,51.4,Moderate,51057.0,True
CSD,36807.2,5279.9,256538.6,0.46,44.3,Moderate,71056.3,True
CSD,39741.2,5700.9,276987.9,0.446,43.9,Moderate,54641.4,True
CSD,38555.9,5530.8,268726.8,0.422,43.2,Moderate,33447.8,True
CSD,18092.0,2594.8,126096.8,0.537,46.7,Moderate,30541.4,True
CSD,20176.3,2893.8,140624.4,0.633,49.5,Moderate,18446.4,True
CSD,26578.9,3812.4,185249.1,0.494,45.4,Moderate,45633.8,True
CSD,16046.3,2301.3,111838.9,0.588,48.2,Moderate,21876.7,True
CSD,16623.0,2384.0,115858.5,0.701,51.6,Moderate,21035.4,True
CSD,26846.8,3850.9,187116.4,0.726,52.3,Moderate,26294.1,True
CSD,9768.1,1400.5,68081.2,0.52,46.2,Moderate,6851.7,True
CSD,27779.3,3984.7,193615.5,0.787,54.2,Moderate,8273.4,True
CSD,29462.1,4226.1,205344.5,0.366,41.5,Moderate,10955.9,True
CSD,27780.1,3984.8,193621.0,0.751,53.1,Moderate,8180.5,True
CSD,27403.6,3930.7,190997.0,0.802,54.6,Moderate,6974.4,True
CSD,20731.0,2973.4,144490.7,0.776,53.8,Moderate,6854.6,True
CSD,9253.7,1326.7,64495.8,0.548,47.0,Moderate,3885.4,True
CSD,4136.8,592.5,28832.0,0.717,52.1,Moderate,3251.7,True
CSD,11060.3,1585.9,77087.2,0.324,40.3,Moderate,5972.1,True
CSD,4165.5,596.7,29031.9,0.742,52.8,Moderate,4327.2,True
CSD,2413.4,345.3,16819.8,0.796,54.4,Moderate,2435.7,True
CSD,2758.9,394.8,19228.2,0.946,58.9,Moderate,3648.2,True
CSD,786075.7,112781.8,5478804.8,0.625,49.3,Moderate,738207.0,True
CSD,805653.5,115590.7,5615258.5,0.48,45.0,Moderate,964537.4,True
CSD,1121778.3,160947.0,7818591.4,0.6,48.5,Moderate,1182448.0,True
CSD,770441.4,110538.6,5369836.5,0.645,49.9,Moderate,862643.7,True
CSD,841526.0,120737.6,5865283.6,0.587,48.2,Moderate,788095.0,True
CSD,823054.8,118087.4,5736542.5,0.724,52.3,Moderate,1087724.3,True
CSD,797031.4,114353.7,5555164.5,0.842,55.8,Moderate,841304.0,True
CSD,768928.5,110321.6,5359292.3,0.841,55.8,Moderate,813462.9,True
CSD,1189040.1,170597.4,8287394.4,0.553,47.1,Moderate,915075.6,True
CSD,575941.0,82632.6,4014204.2,0.959,59.3,Moderate,746034.6,True
CSD,749001.5,107462.5,5220404.7,0.753,53.2,Moderate,756835.0,True
CSD,1050969.0,150787.5,7325063.7,0.516,46.1,Moderate,934756.7,True
CSD,7589085.8,1088848.6,52894559.8,0.544,46.9,Moderate,7031618.7,True
CSD,6317015.0,906337.4,44028455.4,0.455,44.2,Moderate,5527067.8,True
CSD,6866807.6,985219.2,47860410.4,0.49,45.3,Moderate,9151487.5,True
CSD,9760310.8,1400366.7,68027606.4,0.379,41.9,Moderate,6410506.9,True
CSD,6711468.4,962931.8,46777724.2,0.435,43.6,Moderate,6225567.3,True
CSD,8347460.4,1197657.0,58180294.0,0.44,43.8,Moderate,8036687.6,True
